"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Courtland Sutton","DEN","WR26","0.0","0.0","0.0","72.7","930.8","7.8","0.2","139.4"
"Ladd McConkey","LAC","WR27","0.0","0.0","0.0","77.3","987.2","6.6","0.3","137.9"
"Jacory Croskey-Merritt","WAS","RB34","187.5","852.6","7.7","11.3","81.0","0.2","1.7","137.6"
"RJ Harvey","DEN","RB35","135.2","506.8","4.9","47.9","353.3","3.8","0.8","136.8"
"Colston Loveland","CHI","TE3","0.0","0.0","0.0","80.4","948.9","7.0","0.2","136.6"
"Jaylen Waddle","DEN","WR28","2.5","18.6","0.0","75.9","983.1","6.0","0.3","135.7"
"Luther Burden III","CHI","WR29","8.6","40.8","0.2","73.9","972.8","5.6","0.3","135.2"
"Aaron Jones Sr.","MIN","RB36","168.5","722.3","3.4","43.0","321.0","2.0","1.6","133.6"
"Christian Watson","GB","WR30","2.6","12.1","0.1","51.5","861.4","7.6","0.3","132.5"
"DK Metcalf","PIT","WR31","1.0","5.0","0.5","62.9","921.2","6.1","0.2","131.6"
"Marvin Harrison Jr.","ARI","WR32","0.0","0.0","0.0","68.8","951.5","6.0","0.3","130.7"
"Mike Evans","SF","WR33","0.0","0.0","0.0","63.7","907.6","6.6","0.2","130.2"
"Rachaad White","WAS","RB37","139.8","638.3","5.5","36.5","235.0","1.4","0.8","127.6"
"Jordan Mason","MIN","RB38","178.5","826.3","6.2","15.7","82.7","0.2","1.0","127.2"
"Parker Washington","JAC","WR34","8.0","20.4","0.1","62.4","882.0","6.1","0.4","126.7"
"Blake Corum","LAR","RB39","165.2","798.3","6.4","11.3","76.1","0.3","0.7","126.2"
"Kenneth Gainwell","TB","RB40","116.0","507.3","4.2","56.0","390.5","2.0","0.9","125.3"
"Brian Thomas Jr.","JAC","WR35","4.0","27.1","0.6","55.5","848.5","5.5","0.2","123.8"
"Tyler Warren","IND","TE4","0.0","0.0","0.0","85.3","888.3","5.6","0.3","121.8"
"Dallas Goedert","PHI","TE5","0.0","0.0","0.0","69.2","719.9","8.3","0.2","121.5"
"Quentin Johnston","LAC","WR36","2.5","9.4","0.0","55.4","779.8","7.3","0.7","121.5"
"Kyle Pitts Sr.","ATL","TE6","0.0","0.0","0.0","81.2","896.1","5.1","0.1","119.9"
"Tucker Kraft","GB","TE7","0.0","0.0","0.0","59.5","772.0","7.0","0.2","118.7"
"Sam LaPorta","DET","TE8","0.0","0.0","0.0","75.1","846.9","5.7","0.2","118.4"
"Jakobi Meyers","JAC","WR37","5.5","25.0","0.1","72.4","830.2","5.6","0.8","118.3"
"Jordan Addison","MIN","WR38","2.5","46.2","0.6","55.2","751.4","5.6","0.2","116.2"
"Harold Fannin Jr.","CLE","TE9","0.0","0.0","0.0","79.5","822.9","5.6","0.8","114.2"
"Jordyn Tyson","NO","WR39","1.0","5.0","0.0","64.2","893.2","4.5","1.3","114.1"
