"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Saquon Barkley","PHI","RB1","336.4","1,683.6","11.1","43.2","331.1","2.2","1.4","278.2"
"Bijan Robinson","ATL","RB2","304.8","1,421.8","11.4","58.9","447.2","2.2","1.4","266.1"
"Jahmyr Gibbs","DET","RB3","240.2","1,240.4","11.7","58.2","511.9","2.8","1.3","259.5"
"Derrick Henry","BAL","RB4","306.2","1,554.4","13.7","16.3","153.0","0.9","1.4","255.8"
"Christian McCaffrey","SF","RB5","245.5","1,110.9","8.1","64.6","556.9","3.5","1.8","233.0"
"Ja'Marr Chase","CIN","WR1","1.6","12.7","0.0","120.1","1,580.9","12.2","0.6","231.7"
"Jonathan Taylor","IND","RB6","310.7","1,413.1","10.7","28.5","204.2","1.3","1.6","230.3"
"Josh Jacobs","GB","RB7","291.0","1,234.2","11.5","38.0","315.0","1.5","1.5","229.5"
"Kyren Williams","LAR","RB8","291.7","1,249.3","11.6","33.5","212.9","1.7","2.3","221.3"
"Ashton Jeanty","LV","RB9","272.9","1,227.7","9.3","45.9","361.5","1.9","2.4","221.1"
"De'Von Achane","MIA","RB10","217.9","1,014.6","7.6","68.5","505.7","3.9","1.3","218.3"
"Bucky Irving","TB","RB11","245.1","1,161.9","8.5","45.3","352.7","1.7","1.4","209.9"
"Chase Brown","CIN","RB12","244.7","1,033.1","8.4","57.8","406.6","2.8","1.4","208.6"
"James Cook III","BUF","RB13","232.5","1,090.0","9.8","31.6","258.7","1.9","1.4","202.1"
"Justin Jefferson","MIN","WR2","0.5","2.2","0.0","103.5","1,443.3","9.5","0.6","200.2"
"CeeDee Lamb","DAL","WR3","9.1","58.8","0.3","112.1","1,395.2","8.1","1.0","194.0"
"James Conner","ARI","RB14","223.0","1,004.1","8.2","42.4","325.4","1.7","1.4","189.9"
"Chuba Hubbard","CAR","RB15","252.3","1,109.6","8.2","40.9","246.5","1.1","1.8","187.6"
"Nico Collins","HOU","WR4","0.0","1.6","0.0","92.2","1,315.2","9.0","0.5","184.5"
"Malik Nabers","NYG","WR5","2.6","12.2","0.0","107.0","1,343.6","8.3","0.6","184.3"
"Puka Nacua","LAR","WR6","10.7","61.4","0.6","103.8","1,347.7","6.8","0.6","184.1"
"Omarion Hampton","LAC","RB16","225.5","985.6","8.7","35.2","273.0","1.5","2.1","182.8"
"Brian Thomas Jr.","JAC","WR7","3.8","24.9","0.0","91.9","1,293.9","8.6","0.6","182.6"
"Alvin Kamara","NO","RB17","218.7","897.3","5.4","62.7","478.0","2.0","1.3","179.6"
